
=== OneRoom  lagrange_mult=0.001  (20260802_232246) ===
 45000-50000    0.4085          5    
 50000-55000    0.3989          5    
 55000-60000    0.3864          5    
 60000-65000    0.3741          5    
 65000-70000    0.4058          5    
 70000-75000    0.3546          5    
 75000-80000    0.4220          5    
 80000-85000    0.3326          5    
 85000-90000    0.4169          5    
 90000-95000    0.3788          5    
 95000-100000   0.3501          5    
100000-105000   0.3790          5    
105000-110000   0.4175          5    
110000-115000   0.2966          5    
115000-120000   0.3576          5    
120000-125000   0.4062          5    
125000-130000   0.3927          5    
130000-135000   0.3412          5    
135000-140000   0.3645          5    
140000-145000   0.2550          5    
145000-150000   0.3709          5    
150000-155000   0.4072          5    
155000-160000   0.2769          5    
160000-165000   0.3043          5    
165000-170000   0.3433          5    
170000-175000   0.3625          5    
175000-180000   0.3090          5    
180000-185000   0.3382          5    
185000-190000   0.2784          5    
190000-195000   0.3865          5    
195000-200000   0.2299          5    
200000-205000   0.2189          5    
205000-210000   0.4077          5    
210000-215000   0.2864          5    
215000-220000   0.3949          5    
220000-225000   0.2978          5    
225000-230000   0.3122          5    
230000-235000   0.2581          5    
235000-240000   0.3691          5    
240000-245000   0.2753          5    
245000-250000   0.2788          5    
250000-255000   0.4233          5    
255000-260000   0.3122          5    
260000-265000   0.1970          5    
265000-270000   0.3534          5    
270000-275000   0.3245          5    
275000-280000   0.1723          5    
280000-285000   0.2799          5    
285000-290000   0.3031          5    
290000-295000   0.1004          5    
295000-300000   0.3890          5    

=== TwoRoom  lagrange_mult=0.001  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4551          6    
  5000-10000    0.4428          5    
 10000-15000    0.4411          5    
 15000-20000    0.4344          5    
 20000-25000    0.4117          5    
 25000-30000    0.3965          5    
 30000-35000    0.4118          5    
 35000-40000    0.3717          5    
 40000-45000    0.3787          5    
 45000-50000    0.3567          5    
 50000-55000    0.3455          5    
 55000-60000    0.3258          5    
 60000-65000    0.3817          5    
 65000-70000    0.3626          5    
 70000-75000    0.3586          5    
 75000-80000    0.3371          5    
 80000-85000    0.3132          5    
 85000-90000    0.2955          5    
 90000-95000    0.3439          5    
 95000-100000   0.3543          5    
100000-105000   0.3298          5    
105000-110000   0.3168          5    
110000-115000   0.3404          5    
115000-120000   0.2783          5    
120000-125000   0.3477          5    
125000-130000   0.3440          5    
130000-135000   0.2664          5    
135000-140000   0.2751          5    
140000-145000   0.2970          5    
145000-150000   0.2345          5    
150000-155000   0.3063          5    
155000-160000   0.2633          5    
160000-165000   0.3528          5    
165000-170000   0.3021          5    
170000-175000   0.3798          5    
175000-180000   0.5711          5    
180000-185000   0.2677          5    
185000-190000   0.2392          5    
190000-195000   0.2296          5    
195000-200000   0.3009          5    
200000-205000   0.2580          5    
205000-210000   0.3296          5    
210000-215000   0.2193          5    
215000-220000   0.2708          5    
220000-225000   0.3091          5    
225000-230000   0.2343          5    
230000-235000   0.2843          5    
235000-240000   0.3202          5    
240000-245000   0.3768          5    
245000-250000   0.2514          5    
250000-255000   0.2654          5    
255000-260000   0.6085          5    
260000-265000   0.2809          5    
265000-270000   0.2978          5    
270000-275000   0.2310          5    
275000-280000   0.2670          5    
280000-285000   0.2233          5    
285000-290000   0.2821          5    
290000-295000   0.2681          5    
295000-300000   0.2763          5    

=== TwoRoom  lagrange_mult=0.003  (20260802_232246) ===
steps           avg loss_total  n    
     0-5000     0.4564          6    
  5000-10000    0.4464          5    
 10000-15000    0.4441          5    
 15000-20000    0.4102          5    
 20000-25000    0.4014          5    
 25000-30000    0.3897          5    
 30000-35000    0.3736          5    
 35000-40000    0.3584          5    
 40000-45000    0.3461          5    
 45000-50000    0.3653          5    
 50000-55000    0.3645          5    
 55000-60000    0.3413          5    
 60000-65000    0.3244          5    
 65000-70000    0.3464          5    
 70000-75000    0.3227          5    
 75000-80000    0.3075          5    
 80000-85000    0.2668          5    
 85000-90000    0.3873          5    
 90000-95000    0.3413          5    
 95000-100000   0.3048          5    
100000-105000   0.6854          5    
105000-110000   0.3291          5    
110000-115000   0.3242          5    
115000-120000   0.3265          5    
120000-125000   0.3112          5    
125000-130000   0.2491          5    
130000-135000   0.2956          5    
135000-140000   0.3334          5    
140000-145000   0.3554          5    
145000-150000   0.2076          5    
150000-155000   0.3274          5    
155000-160000   0.2819          5    
160000-165000   0.2940          5    
165000-170000   0.2978          5    
170000-175000   0.2943          5    
175000-180000   0.2657          5    
180000-185000   0.2627          5    
185000-190000   0.2548          5    
190000-195000   0.2937          5    
195000-200000   0.2976          5    
200000-205000   0.3178          5    
205000-210000   0.3190          5    
210000-215000   0.2838          5    
