env,tag,w_neg,c_neg,reg_neg,rnn_type,discount_short,discount_long,lr,n_states,n_obs,max_alias,ceiling,overlap_alias_eig,overlap_short,overlap_long,overlap_cross,window_len,overlap_short_windowed,overlap_long_windowed,raw_cos,aligned_cos,erank_short,erank_long,rho_gt,rho_short,rho_long,rho_concat,rho_pixels
OneRoom,"0010_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.1_discount=[0.1,0.9]_lr=0.001_rnn_type=LSTM",5.0,1.0,0.1,LSTM,0.1,0.9,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.3066897368165604,0.28147011149735557,0.7994574,1,0.3066897368165604,0.28147011149735557,0.07649489492177963,0.496379017829895,6.147891521453857,1.7260546684265137,0.09263681920138013,0.7028183162512776,-0.14413279147544641,0.7028183162512776,0.7251996043390727
OneRoom,"0011_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.1_discount=[0.1,0.9]_lr=0.001_rnn_type=GRU",5.0,1.0,0.1,GRU,0.1,0.9,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.30791459666616366,0.165674281605143,0.30793405,1,0.30791459666616366,0.165674281605143,0.14462324976921082,0.06755854934453964,5.805479049682617,1.0,0.09263681920138013,0.7050087580290684,nan,0.7050087580290684,0.7251996043390727
OneRoom,"0012_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.1_discount=[0.3,0.7]_lr=0.0001_rnn_type=LSTM",5.0,1.0,0.1,LSTM,0.3,0.7,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.3070919671328239,0.3054802190343905,0.86451375,1,0.3070919671328239,0.3054802190343905,0.061611372977495193,0.7760789394378662,5.227604866027832,2.5220136642456055,0.09263681920138013,0.7102170142194592,0.7347620196083922,0.7156916832499272,0.7251996043390727
OneRoom,"0013_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.1_discount=[0.3,0.7]_lr=0.0001_rnn_type=GRU",5.0,1.0,0.1,GRU,0.3,0.7,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.3065416978791219,0.3025575481965972,0.8231366,1,0.3065416978791219,0.3025575481965972,-0.09058289974927902,0.9535375833511353,5.1166768074035645,3.1208298206329346,0.09263681920138013,0.7063345064078151,0.7296783573539859,0.7128392285311683,0.7251996043390727
OneRoom,"0014_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.1_discount=[0.3,0.7]_lr=0.001_rnn_type=LSTM",5.0,1.0,0.1,LSTM,0.3,0.7,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.3067881638380058,0.29678102232860526,0.79799056,1,0.3067881638380058,0.29678102232860526,0.3050324022769928,0.38755106925964355,5.068963050842285,1.0012760162353516,0.09263681920138013,0.7165466158337097,0.7170541782273052,0.7190838536360838,0.7251996043390727
OneRoom,"0015_window_len=1_w_neg=5.0_c_neg=1.0_reg_neg=0.1_discount=[0.3,0.7]_lr=0.001_rnn_type=GRU",5.0,1.0,0.1,GRU,0.3,0.7,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.3081869357406654,0.30823735423728604,0.9251316,1,0.3081869357406654,0.30823735423728604,0.11389857530593872,0.9501851201057434,5.214188575744629,3.025183916091919,0.09263681920138013,0.7124235326341511,0.7400483623208743,0.7187611725668523,0.7251996043390727
OneRoom,"0016_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.0_discount=[0.1,0.9]_lr=0.0001_rnn_type=LSTM",5.0,2.0,0.0,LSTM,0.1,0.9,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.3076332069502785,0.3081134491768535,0.88079596,1,0.3076332069502785,0.3081134491768535,-0.334695041179657,0.9051886796951294,7.806098937988281,4.017570495605469,0.09263681920138013,0.12316483779703416,0.7314869790053729,0.39568278073758134,0.7251996043390727
OneRoom,"0017_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.0_discount=[0.1,0.9]_lr=0.0001_rnn_type=GRU",5.0,2.0,0.0,GRU,0.1,0.9,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.30636051284315957,0.306335832723612,0.8644679,1,0.30636051284315957,0.306335832723612,0.02357563003897667,0.8943676948547363,7.563790798187256,3.9899375438690186,0.09263681920138013,0.1911558060802989,0.7272502110162985,0.4779934391750014,0.7251996043390727
OneRoom,"0018_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.0_discount=[0.1,0.9]_lr=0.001_rnn_type=LSTM",5.0,2.0,0.0,LSTM,0.1,0.9,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.30745658285292815,0.30747677712704746,0.88138735,1,0.30745658285292815,0.30747677712704746,0.03316285088658333,0.9180766344070435,7.766002178192139,4.2378106117248535,0.09263681920138013,0.14874965709411375,0.7185395446438569,0.43383838176020534,0.7251996043390727
OneRoom,"0019_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.0_discount=[0.1,0.9]_lr=0.001_rnn_type=GRU",5.0,2.0,0.0,GRU,0.1,0.9,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.3067293008238349,0.30560758456912385,0.8482091,1,0.3067293008238349,0.30560758456912385,-0.13562269508838654,0.9171473383903503,7.7650532722473145,3.9770431518554688,0.09263681920138013,0.1469852461942052,0.723456698873215,0.4353886288899656,0.7251996043390727
OneRoom,"0020_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.0_discount=[0.3,0.7]_lr=0.0001_rnn_type=LSTM",5.0,2.0,0.0,LSTM,0.3,0.7,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.3062208699566561,0.30709350092715565,0.8593446,1,0.3062208699566561,0.30709350092715565,-0.09694266319274902,0.9939499497413635,7.76577091217041,6.788355350494385,0.09263681920138013,0.29053583374758607,0.7062323049303717,0.3698648502054341,0.7251996043390727
OneRoom,"0021_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.0_discount=[0.3,0.7]_lr=0.0001_rnn_type=GRU",5.0,2.0,0.0,GRU,0.3,0.7,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.30720692239807257,0.30741961227949044,0.8595605,1,0.30720692239807257,0.30741961227949044,0.2445109337568283,0.9945506453514099,7.691030979156494,6.663005352020264,0.09263681920138013,0.18902450335968038,0.7044437790751114,0.4729574326656952,0.7251996043390727
OneRoom,"0022_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.0_discount=[0.3,0.7]_lr=0.001_rnn_type=LSTM",5.0,2.0,0.0,LSTM,0.3,0.7,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.30702678531848143,0.3071768272171868,0.8501194,1,0.30702678531848143,0.3071768272171868,-0.052404772490262985,0.9969550371170044,7.712988376617432,7.105683326721191,0.09263681920138013,0.10701757852657254,0.4728437478761795,0.2910950710455071,0.7251996043390727
OneRoom,"0023_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.0_discount=[0.3,0.7]_lr=0.001_rnn_type=GRU",5.0,2.0,0.0,GRU,0.3,0.7,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.30669293771284256,0.30738438930245615,0.86484164,1,0.30669293771284256,0.30738438930245615,-0.05120236799120903,0.9952086806297302,7.650760173797607,6.8227338790893555,0.09263681920138013,0.17055244756018204,0.5524874070848084,0.3336487805918211,0.7251996043390727
OneRoom,"0024_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.1_discount=[0.1,0.9]_lr=0.0001_rnn_type=LSTM",5.0,2.0,0.1,LSTM,0.1,0.9,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.3075354545439819,0.3081606884937906,0.88380605,1,0.3075354545439819,0.3081606884937906,-0.10570475459098816,0.9128406047821045,7.717947483062744,4.291149139404297,0.09263681920138013,0.1279459147783354,0.7206869240013767,0.3345812255320917,0.7251996043390727
OneRoom,"0025_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.1_discount=[0.1,0.9]_lr=0.0001_rnn_type=GRU",5.0,2.0,0.1,GRU,0.1,0.9,0.0001,225,25,121,0.3091533796842889,0.30902854478282715,0.30747807098900715,0.3071215903138166,0.8604709,1,0.30747807098900715,0.3071215903138166,0.2273092120885849,0.9232885837554932,7.560490608215332,4.072837829589844,0.09263681920138013,0.18802086188456155,0.7319135840488585,0.4762611815488953,0.7251996043390727
OneRoom,"0026_window_len=1_w_neg=5.0_c_neg=2.0_reg_neg=0.1_discount=[0.1,0.9]_lr=0.001_rnn_type=LSTM",5.0,2.0,0.1,LSTM,0.1,0.9,0.001,225,25,121,0.3091533796842889,0.30902854478282715,0.30705152237441646,0.3075077633661246,0.8514792,1,0.30705152237441646,0.3075077633661246,-0.21485763788223267,0.8989049196243286,7.748783588409424,4.3092427253723145,0.09263681920138013,0.1502780859309366,0.7173533185067886,0.550958404082382,0.7251996043390727
